"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"NR_FEDERACAO";"NM_FEDERACAO";"SG_FEDERACAO";"DS_COMPOSICAO_FEDERACAO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_LEGENDA_VALIDOS";"QT_VOTOS_NOMINAIS_CONVR_LEG";"QT_TOTAL_VOTOS_LEG_VALIDOS";"QT_VOTOS_NOMINAIS_VALIDOS";"QT_VOTOS_LEGENDA_ANUL_SUBJUD";"QT_VOTOS_NOMINAIS_ANUL_SUBJUD"
"20/04/2023";"19:49:01";"2022";"2";"Eleição Ordinária";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"AL";"AL";"ALAGOAS";"27375";"CHÃ PRETA";"28";"6";"Deputado Federal";"Partido isolado";"27";"DC";"Democracia Cristã";"-1";"#NULO#";"#NULO#";"#NULO#";"20001683449";"PARTIDO ISOLADO";"DC";"N";"0";"0";"0";"0";"0";"0"
"20/04/2023";"19:49:01";"2022";"2";"Eleição Ordinária";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"AL";"AL";"ALAGOAS";"28053";"MINADOR DO NEGRÃO";"46";"7";"Deputado Estadual";"Partido isolado";"35";"PMB";"Partido da Mulher Brasileira";"-1";"#NULO#";"#NULO#";"#NULO#";"20001685293";"PARTIDO ISOLADO";"PMB";"N";"0";"0";"0";"0";"0";"0"
"20/04/2023";"19:49:01";"2022";"2";"Eleição Ordinária";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"AL";"AL";"ALAGOAS";"27855";"MACEIÓ";"1";"6";"Deputado Federal";"Partido isolado";"55";"PSD";"Partido Social Democrático";"-1";"#NULO#";"#NULO#";"#NULO#";"20001683386";"PARTIDO ISOLADO";"PSD";"N";"55";"0";"55";"5075";"0";"0"
"20/04/2023";"19:49:01";"2022";"2";"Eleição Ordinária";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"AL";"AL";"ALAGOAS";"27855";"MACEIÓ";"2";"3";"Governador";"Coligação";"28";"PRTB";"Partido Renovador Trabalhista Brasileiro";"-1";"#NULO#";"#NULO#";"#NULO#";"20001683429";"ALAGOAS SEGUE EM FRENTE";"PRTB / PROS";"N";"0";"0";"0";"385";"0";"0"
"20/04/2023";"19:49:01";"2022";"2";"Eleição Ordinária";"2";"547";"Eleições Gerais Estaduais 2022";"30/10/2022";"E";"AL";"AL";"ALAGOAS";"27634";"IGREJA NOVA";"37";"3";"Governador";"Coligação";"15";"MDB";"Movimento Democrático Brasileiro";"-1";"#NULO#";"#NULO#";"#NULO#";"20001684674";"ALAGOAS DAQUI PRA MELHOR";"MDB / (PT/PC do B/PV) / PDT / PSC / PODE / SOLIDARIEDADE";"N";"0";"0";"0";"7943";"0";"0"
"20/04/2023";"19:49:01";"2022";"2";"Eleição Ordinária";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"AL";"AL";"ALAGOAS";"28398";"PINDOBA";"5";"5";"Senador";"Coligação";"11";"PP";"PROGRESSISTAS";"-1";"#NULO#";"#NULO#";"#NULO#";"20001683414";"ALAGOAS MERECE MAIS";"UNIÃO / PSB / (PSDB/CIDADANIA) / PP";"N";"0";"0";"0";"350";"0";"0"
"20/04/2023";"19:49:01";"2022";"2";"Eleição Ordinária";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"AL";"AL";"ALAGOAS";"27855";"MACEIÓ";"2";"7";"Deputado Estadual";"Partido isolado";"35";"PMB";"Partido da Mulher Brasileira";"-1";"#NULO#";"#NULO#";"#NULO#";"20001685293";"PARTIDO ISOLADO";"PMB";"N";"14";"0";"14";"26";"0";"0"
"20/04/2023";"19:49:01";"2022";"2";"Eleição Ordinária";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"AL";"AL";"ALAGOAS";"28290";"PASSO DE CAMARAGIBE";"12";"6";"Deputado Federal";"Partido isolado";"16";"PSTU";"Partido Socialista dos Trabalhadores Unificado";"-1";"#NULO#";"#NULO#";"#NULO#";"20001681298";"PARTIDO ISOLADO";"PSTU";"N";"1";"0";"1";"0";"0";"0"
"20/04/2023";"19:49:01";"2022";"2";"Eleição Ordinária";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"AL";"AL";"ALAGOAS";"27154";"BELÉM";"28";"5";"Senador";"Coligação";"11";"PP";"PROGRESSISTAS";"-1";"#NULO#";"#NULO#";"#NULO#";"20001683414";"ALAGOAS MERECE MAIS";"UNIÃO / PSB / (PSDB/CIDADANIA) / PP";"N";"0";"0";"0";"548";"0";"0"
"20/04/2023";"19:49:01";"2022";"2";"Eleição Ordinária";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"AL";"AL";"ALAGOAS";"28355";"PIAÇABUÇU";"13";"3";"Governador";"Partido isolado";"35";"PMB";"Partido da Mulher Brasileira";"-1";"#NULO#";"#NULO#";"#NULO#";"20001685217";"PARTIDO ISOLADO";"PMB";"N";"0";"0";"0";"9";"0";"0"
